,0,1
0,4.0,65.0
1,3.5,56.0
2,4.0,28.0
3,4.0,22.0
4,3.5,26.0
5,4.0,102.0
6,4.5,72.0
7,4.0,86.0
8,3.5,36.0
9,4.5,100.0
10,4.0,557.0
11,3.5,529.0
12,4.5,126.0
13,4.0,175.0
14,3.5,157.0
15,5.0,37.0
16,4.0,38.0
17,4.5,30.0
18,4.5,172.0
19,3.5,74.0
20,4.0,165.0
21,4.0,122.0
22,4.5,45.0
23,5.0,23.0
24,4.0,231.0
25,5.0,26.0
26,3.5,120.0
27,4.5,27.0
28,4.0,105.0
29,4.0,39.0
30,4.0,9.0
31,4.0,65.0
32,4.5,69.0
33,4.5,405.0
34,3.0,111.0
35,3.5,225.0
36,3.5,96.0
37,4.0,152.0
38,4.5,213.0
39,3.0,61.0
40,4.5,574.0
41,2.5,160.0
42,4.5,29.0
43,3.5,147.0
44,3.5,63.0
45,4.0,85.0
46,4.0,9.0
47,3.0,112.0
48,5.0,128.0
49,4.5,122.0
50,4.5,266.0
51,3.5,112.0
52,4.0,60.0
53,4.0,19.0
54,2.5,18.0
55,5.0,14.0
56,3.0,26.0
57,4.0,24.0
58,5.0,12.0
59,4.0,97.0
60,4.0,130.0
61,3.5,83.0
62,3.0,49.0
63,4.5,20.0
64,3.5,33.0
65,3.5,62.0
66,4.0,46.0
67,4.0,26.0
68,4.0,138.0
69,4.0,6.0
70,4.5,1162.0
71,4.5,116.0
72,4.0,144.0
73,4.5,459.0
74,4.0,13.0
75,3.5,56.0
76,4.0,325.0
77,4.0,50.0
78,4.5,47.0
79,4.0,15.0
80,3.5,17.0
81,4.0,36.0
82,5.0,67.0
83,4.0,311.0
84,4.5,905.0
85,4.5,845.0
86,4.0,485.0
87,4.0,185.0
88,4.5,112.0
89,4.5,282.0
90,4.0,235.0
91,5.0,15.0
92,4.5,177.0
93,4.0,87.0
94,3.0,39.0
95,3.5,232.0
96,4.0,133.0
97,4.0,245.0
98,3.5,15.0
99,3.5,24.0
100,3.5,23.0
101,5.0,1339.0
102,3.5,22.0
103,4.5,61.0
104,4.0,633.0
105,4.0,272.0
106,3.5,139.0
107,3.5,54.0
108,3.5,22.0
109,4.0,83.0
110,4.5,18.0
111,3.0,15.0
112,3.5,157.0
113,4.5,33.0
114,4.0,172.0
115,3.0,125.0
116,3.0,229.0
117,4.5,102.0
118,3.0,124.0
119,4.5,58.0
120,3.5,126.0
121,3.0,30.0
122,4.0,156.0
123,3.0,24.0
124,4.0,250.0
125,4.0,133.0
126,4.5,121.0
127,3.5,396.0
128,4.0,27.0
129,4.0,290.0
130,3.0,450.0
131,4.0,12.0
132,3.5,44.0
133,4.5,345.0
134,4.0,562.0
135,3.5,20.0
136,4.0,101.0
137,3.5,133.0
138,3.5,14.0
139,4.0,20.0
140,4.0,21.0
141,4.5,56.0
142,3.5,55.0
143,4.0,68.0
144,3.0,16.0
145,4.5,109.0
146,4.5,37.0
147,3.5,70.0
148,4.0,57.0
149,4.0,72.0
150,3.0,69.0
151,3.5,21.0
152,3.0,106.0
153,4.0,69.0
154,4.0,214.0
155,3.5,117.0
156,3.5,179.0
157,4.0,234.0
158,4.5,45.0
159,3.5,46.0
160,4.5,31.0
161,4.0,89.0
162,4.0,106.0
163,2.5,14.0
164,4.0,44.0
165,4.0,27.0
166,5.0,18.0
167,4.5,27.0
168,4.0,22.0
169,4.5,186.0
170,4.5,318.0
171,3.5,17.0
172,4.5,61.0
173,4.0,38.0
174,4.5,24.0
175,3.5,45.0
176,4.0,57.0
177,3.5,38.0
178,4.5,37.0
179,4.0,49.0
180,4.0,43.0
181,4.0,39.0
182,4.0,28.0
183,4.5,201.0
184,4.0,101.0
185,4.5,29.0
186,4.5,82.0
187,3.0,126.0
188,3.5,88.0
189,5.0,38.0
190,4.5,35.0
191,3.5,299.0
192,4.0,127.0
193,4.0,822.0
194,3.0,33.0
195,4.0,97.0
196,4.0,514.0
197,4.0,552.0
198,4.5,618.0
199,3.5,79.0
200,3.5,124.0
201,3.0,143.0
202,3.5,156.0
203,3.5,34.0
204,4.5,51.0
205,3.5,104.0
206,4.5,60.0
207,4.5,50.0
208,4.0,1474.0
209,3.5,34.0
210,4.5,490.0
211,5.0,26.0
212,4.0,23.0
213,4.0,330.0
214,4.0,386.0
215,4.5,128.0
216,4.0,1426.0
217,4.0,872.0
218,4.0,338.0
219,3.5,224.0
220,4.0,1418.0
221,5.0,56.0
222,4.0,593.0
223,3.5,701.0
224,4.0,248.0
225,4.0,80.0
226,4.0,678.0
227,4.5,1102.0
228,4.0,852.0
229,4.5,32.0
230,4.0,253.0
231,4.0,547.0
232,3.5,273.0
233,3.0,89.0
234,4.5,483.0
235,4.0,108.0
236,3.5,926.0
237,4.0,196.0
238,4.0,881.0
239,4.5,385.0
240,3.5,34.0
241,4.0,81.0
242,4.5,32.0
243,4.5,70.0
244,4.5,9.0
245,5.0,33.0
246,4.5,1069.0
247,4.5,98.0
248,4.5,39.0
249,3.0,61.0
250,4.5,90.0
251,5.0,54.0
252,4.5,36.0
253,3.5,493.0
254,4.0,148.0
255,4.0,943.0
256,4.5,217.0
257,4.5,536.0
258,4.0,205.0
259,4.5,548.0
260,4.0,89.0
261,4.0,119.0
262,3.5,79.0
263,3.0,140.0
264,4.5,321.0
265,4.5,19.0
266,4.0,121.0
267,4.0,185.0
268,3.5,135.0
269,4.0,23.0
270,4.5,28.0
271,4.0,59.0
272,4.5,221.0
273,3.5,49.0
274,3.5,56.0
275,5.0,14.0
276,4.0,29.0
277,4.5,51.0
278,4.5,95.0
279,4.0,68.0
280,4.5,123.0
281,4.5,14.0
282,4.5,27.0
283,2.5,151.0
284,5.0,275.0
285,4.0,210.0
286,4.0,103.0
287,4.0,36.0
288,4.0,58.0
289,4.0,146.0
290,4.5,122.0
291,5.0,35.0
292,3.5,113.0
293,4.5,19.0
294,4.5,66.0
295,4.0,94.0
296,4.0,38.0
297,4.5,65.0
298,4.5,16.0
299,4.5,38.0
300,4.5,21.0
301,4.0,20.0
302,4.5,62.0
303,4.0,13.0
304,4.0,93.0
305,3.5,562.0
306,4.5,649.0
307,4.0,227.0
308,4.5,361.0
309,4.0,28.0
310,4.5,272.0
311,4.0,34.0
312,4.5,36.0
313,3.5,47.0
314,4.5,250.0
315,4.5,327.0
316,4.5,54.0
317,4.5,71.0
318,4.5,62.0
319,4.5,44.0
320,4.5,427.0
321,4.0,256.0
322,3.5,74.0
323,3.5,47.0
324,5.0,41.0
325,4.5,546.0
326,4.5,410.0
327,5.0,45.0
328,4.5,535.0
329,4.5,313.0
330,4.5,32.0
331,4.5,71.0
332,4.5,100.0
333,4.5,166.0
334,4.5,172.0
335,4.0,49.0
336,4.0,593.0
337,4.0,375.0
338,4.5,79.0
339,3.5,364.0
340,3.5,338.0
341,3.5,263.0
342,4.0,137.0
343,4.0,171.0
344,4.5,53.0
345,4.0,74.0
346,4.0,70.0
347,4.5,79.0
348,4.5,255.0
349,4.5,13.0
350,4.0,89.0
351,4.0,56.0
352,4.5,207.0
353,3.5,173.0
354,3.5,164.0
355,2.0,171.0
356,3.5,208.0
357,3.5,276.0
358,4.0,109.0
359,3.5,205.0
360,4.0,501.0
361,3.5,67.0
362,4.5,14.0
363,4.0,219.0
364,4.0,22.0
365,4.5,167.0
366,3.5,157.0
367,4.0,74.0
368,4.5,16.0
369,4.0,50.0
370,4.5,11.0
371,3.0,52.0
372,4.0,210.0
373,4.5,188.0
374,4.0,228.0
375,4.0,253.0
376,3.5,15.0
377,4.0,80.0
378,4.5,26.0
379,4.0,42.0
380,4.5,49.0
381,4.5,53.0
382,5.0,35.0
383,4.5,457.0
384,3.5,126.0
385,4.0,69.0
386,3.5,99.0
387,3.5,49.0
388,4.5,29.0
389,4.0,103.0
390,4.5,23.0
391,4.5,221.0
392,3.5,696.0
393,3.5,459.0
394,4.0,498.0
395,4.0,248.0
396,3.5,346.0
397,4.5,290.0
398,4.0,127.0
399,3.5,340.0
400,4.5,8.0
401,2.5,155.0
402,3.0,159.0
403,4.5,43.0
404,3.5,228.0
405,3.5,74.0
406,4.5,62.0
407,3.5,265.0
408,4.0,194.0
409,5.0,157.0
410,4.0,215.0
411,3.5,463.0
412,2.5,213.0
413,4.0,199.0
414,4.0,824.0
415,3.5,138.0
416,3.5,677.0
417,4.0,468.0
418,4.0,353.0
419,3.5,45.0
420,4.0,372.0
421,2.5,168.0
422,4.0,179.0
423,4.0,170.0
424,4.5,1135.0
425,4.5,70.0
